AUTHOR_TITLE,COUNT
henry james the american,1670
henry james turn of the,937
ralph waldo emerson nature,712
henry james portrait of a,694
ralph waldo emerson essays,593
herman melville moby dick,463
toni morrison beloved,422
toni morrison sula,334
henry james ambassadors,334
ralph ellison invisible man,331
herman melville pierre,329
nathaniel hawthorne scarlet letter,325
mark twain huckleberry finn,324
vladimir nabokov ada,301
richard wright native son,289
henry james wings of the,277
harriet beecher stowe dred,274
henry james golden bowl,271
harriet beecher stowe uncle tom's cabin,241
frederick douglass narrative of the,233
william faulkner sanctuary,226
toni morrison jazz,217
herman melville confidence man,210
zora neale hurston were watching god,203
edgar allan poe fall of the,202
nathaniel hawthorne seven gables,202
herman melville billy budd,196
william faulkner sound and the,194
edgar allan poe raven,188
henry james bostonians,184
richard wright black boy,180
mark twain tom sawyer,176
nathaniel hawthorne marble faun,169
nathaniel hawthorne blithedale romance,166
william faulkner absalom,165
henry david thoreau walden,164
scott fitzgerald great gatsby,162
thomas pynchon gravity's rainbow,162
john dos passos usa,161
henry james roderick hudson,158
herman melville typee,156
toni morrison bluest eye,152
ralph waldo emerson american scholar,150
henry james what maisie knew,141
mark twain on the mississippi,140
vladimir nabokov lolita,133
stephen crane red badge,128
nella larsen passing,126
leslie marmon silko ceremony,125
herman melville bartleby,121
william faulkner hamlet,121
henry adams education of henry,121
jean toomer cane,117
harriet jacobs incidents in the,116
mark twain connecticut yankee,114
donald barthelme stories,114
herman melville benito cereno,114
henry james daisy miller,114
henry james beast in the,111
joyce carol oates stories,110
edgar allan poe purloined letter,110
ralph ellison shadow and act,110
william faulkner light in august,109
thomas pynchon of lot 49,108
alice walker the color purple,107
henry james awkward age,104
charles brockden brown wieland,103
theodore dreiser genius,103
flannery o'connor stories,102
herman melville omoo,101
ernest hemingway sun also rises,101
mark twain innocents abroad,99
ernest hemingway farewell to arms,98
kate chopin awakening,98
james fenimore cooper of the mohicans,96
edith wharton of the country,96
james fenimore cooper the pioneers,95
theodore dreiser sister carrie,94
gloria anzaldua borderlands,93
henry james washington square,93
toni morrison song of solomon,92
maxine hong kingston woman warrior,92
herman melville piazza tales,90
stephen crane maggie,89
mark twain pudd'nhead wilson,89
gertrude stein tender buttons,88
edith wharton house of mirth,88
william faulkner go down moses,85
nella larsen quicksand,85
edgar allan poe murders in the,85
nathaniel hawthorne young goodman brown,85
toni morrison tar baby,84
william faulkner i lay dying,84
gertrude stein autobiography of alice,83
vladimir nabokov pale fire,82
alice walker meridian,81
james fenimore cooper the prairie,81
vladimir nabokov the gift,80
ernest hemingway in our time,79
vladimir nabokov speak memory,79
william wells brown clotel,77
leslie marmon silko storyteller,77
charles brockden brown edgar huntly,76
washington irving the sketch book,76
mark twain roughing it,75
joel chandler harris uncle remus,75
charles brockden brown arthur mervyn,74
charlotte perkins gilman the yellow wallpaper,73
james baldwin a native son,73
gertrude stein three lives,71
davy crockett crockett,71
scott momaday made of dawn,71
ishmael reed mumbo jumbo,70
olaudah equiano the interesting narrative,70
gertrude stein making of americans,70
william dean howells rise of silas,69
zora neale hurston mules and men,69
scott fitzgerald tender is the,68
norman mailer american dream,67
theodore dreiser american tragedy,67
ernest hemingway the bell tolls,67
john barth in the funhouse,66
malcolm x the autobiography of,65
zora neale hurston sweat,65
jack kerouac on the road,63
charlotte perkins gilman herland,63
charles brockden brown ormond,63
willa cather my antonia,63
leslie silko ceremony,63
washington irving crayon,62
washington irving rip van winkle,60
scott fitzgerald side of paradise,59
louise erdrich love medicine,59
william dean howells hazard of new,59
richard wright the outsider,58
ambrose bierce stories,57
edith wharton age of innocence,57
louise erdrich tracks,56
ernest hemingway a moveable feast,55
frank norris mcteague,54
james baldwin fire next time,54
stephen crane open boat,53
james fenimore cooper deerslayer,53
vladimir nabokov pnin,52
edgar allan poe black cat,52
saul bellow herzog,52
willa cather song of the,52
mary mccarthy the group,51
norman mailer naked and the,51
ernest hemingway old man and,51
frank norris octopus,50
louisa may alcott little women,50
upton sinclair the jungle,49
sherwood anderson winesburg ohio,48
james baldwin another country,48
william dean howells a modern instance,47
willa cather the professor's house,46
richard wright uncle tom's children,45
leslie silko storyteller,44
frederick douglass my bondage and,44
robert penn warren all the king's,44
michael herr dispatches,43
frank norris the pit,42
philip roth portnoy's complaint,42
john dos passos manhattan transfer,42
jose marti our america,41
zora neale hurston dust tracks on,41
charles chesnutt conjure woman,41
theodore dreiser titan,40
susanna rowson charlotte temple,40
norman mailer advertisements for myself,40
willa cather for the archbishop,40
james fenimore cooper the pathfinder,39
frank o'connor stories,39
john updike the coup,39
saul bellow the rain king,39
john barth chimera,39
frances harper iola leroy,39
leslie marmon silko yellow woman,38
edith wharton old new york,38
edgar allan poe and the pendulum,38
john dos passos big money,38
pauline hopkins contending forces,38
raymond chandler big sleep,37
leslie marmon silko almanac of the,37
herman melville paradise of bachelors,37
jack london of the wild,37
john steinbeck grapes of wrath,36
nathaniel hawthorne minister's black veil,36
theodore dreiser financier,35
sherwood anderson death in the,35
james welch in the blood,35
willa cather lost lady,35
thomas pynchon vineland,34
henry david thoreau civil disobedience,34
frederick douglass life and times,34
william faulkner intruder in the,34
rebecca harding davis the iron mills,34
scott fitzgerald the last tycoon,33
donald barthelme paradise,33
richard powers gain,32
annie dillard stories,32
richard rodriguez hunger of memory,32
donald barthelme snow white,32
grace paley stories,32
donald barthelme the king,32
john dos passos three soldiers,32
scott momaday way to rainy,32
james baldwin nobody knows my,32
willa cather o pioneers,32
jack london iron heel,31
john cheever stories,31
philip roth goodbye columbus,30
james baldwin on the mountain,30
saul bellow adventures of augie,30
bernard malamud the natural,30
stephen crane blue hotel,30
john updike rabbit run,30
ernest hemingway snows of kilimanjaro,30
edith wharton ethan frome,30
anna julia cooper from the south,29
truman capote in cold blood,29
ishmael reed flight to canada,29
jack london to build a,28
margaret walker jubilee,28
charles chesnutt marrow of tradition,28
john barth the floating opera,28
alice walker grange copeland,28
hannah webster foster the coquette,28
washington irving salmagundi,27
stephen crane black riders,27
philip roth counterlife,27
maxine hong kingston tripmaster monkey,27
scott fitzgerald beautiful and damned,26
john updike couples,26
saul bellow dangling man,26
william faulkner rose for emily,26
fanny fern ruth hall,25
richard henry dana before the mast,25
john dos passos 42nd parallel,25
edgar allan poe the bells,25
maxine hong kingston china men,25
edgar allan poe annabel lee,25
louise erdrich beet queen,25
edgar allan poe sleeper,24
theodore dreiser jennie gerhardt,24
isaac bashevis singer slave,24
gerald vizenor bearheart,24
hannah foster the coquette,24
washington irving bracebridge hall,24
theodore dreiser stoic,23
saul bellow seize the day,23
philip roth the ghost writer,23
jack london martin eden,23
flannery o'connor wise blood,23
john updike centaur,23
thomas wolfe look homeward angel,23
jessie fauset plum bun,23
louise erdrich bingo palace,22
kurt vonnegut cat's cradle,22
paule marshall brown girl brownstones,22
sherwood anderson dark laughter,22
vladimir nabokov laughter in the,22
willa cather shadows on the,22
joel chandler harris brer rabbit,22
washington irving of a traveller,21
thomas pynchon slow learner,21
ishmael reed yellow back radio,21
william faulkner reivers,21
philip roth operation shylock,20
ann beattie stories,20
gerald vizenor heirs of columbus,20
george schuyler black no more,19
william apess of the forest,19
raymond chandler long goodbye,19
william dean howells indian summer,19
paule marshall the chosen place,19
frank norris vandover,19
carlos bulosan america is in,19
leslie silko yellow woman,19
sherman alexie reservation blues,19
helen hunt jackson ramona,18
james baldwin giovanni's room,18
black hawk the autobiography,18
sherman alexie indian killer,18
mary antin the promised land,18
sherman alexie ranger and tonto,18
james welch fools crow,18
amy tan joy luck club,18
sandra cisneros on mango street,17
flannery o'connor good man is,17
philip roth american pastoral,17
stephen crane bride comes to,17
ernest gaines miss jane pittman,16
thomas pynchon v.,16
tim o'brien going after cacciato,16
katherine anne porter pale horse pale,16
norman mailer executioner's song,16
norman mailer the deer park,16
raymond chandler farewell my lovely,16
saul bellow humboldt's gift,16
louisa may alcott little men,15
toni cade bambara salt eaters,15
dorothy allison bastard out of,15
flannery o'connor everything that rises,15
mike fink crockett,15
george washington cable the grandissimes,15
leslie silko almanac of the,15
donald barthelme the dead father,15
anzia yezierska bread givers,15
kate chopin story of an,15
bharati mukherjee jasmine,14
kurt vonnegut player piano,14
eudora welty golden apples,14
scott fitzgerald winter dreams,14
willa cather sapphira and the,14
annie dillard pilgrim at tinker,14
john updike rabbit redux,14
hamlin garland crumbling idols,14
katherine anne porter ship of fools,14
annie dillard the living,14
thomas wolfe can't go home,13
bernard malamud the fixer,13
louisa may alcott jo's boys,13
bobbie ann mason in country,13
lydia maria child appeal in favor,13
philip roth zuckerman unbound,13
james baldwin no name in,13
jack london white fang,13
sarah orne jewett country doctor,13
james dickey deliverance,13
caroline kirkland a new home,13
sarah orne jewett of the pointed firs,13
norman mailer barbary shore,12
donald barthelme the balloon,12
john edgar wideman philadelphia fire,12
ernest hemingway like white elephants,12
jamaica kincaid small place,12
kurt vonnegut breakfast of champions,12
james baldwin above my head,12
joyce carol oates wonderland,12
george washington harris sut lovingood,12
francis parkman oregon trail,12
kurt vonnegut sirens of titan,12
james baldwin tell me how,12
katherine anne porter flowering judas,11
william wells brown narrative of william,11
jamaica kincaid lucy,11
john updike rabbit is rich,11
ellen glasgow barren ground,11
david foster wallace infinite jest,11
tim o'brien things they carried,11
isaac bashevis singer satan in goray,10
isaac bashevis singer enemies a love,10
john steinbeck cannery row,10
norman mailer ancient evenings,10
elizabeth stoddard morgesons,10
rudolfo anaya bless me ultima,10
stephen crane war is kind,10
sarah orne jewett a white heron,10
mourning dove cogewea,10
bret harte roaring camp,10
isaac bashevis singer the family moskat,10
bernard malamud the assistant,10
karen tei yamashita tropic of orange,10
flannery o'connor the violent bear,10
edwidge danticat breath eyes memory,10
frank chin the chinaman pacific,10
richard powers galatea 2.2,10
zitkala sa american indian stories,9
abraham cahan yekl,9
charles chesnutt goophered grapevine,9
john edgar wideman damballah,9
john steinbeck tortilla flat,9
karen tei yamashita through the arc,9
john updike roger's version,9
kurt vonnegut mother night,9
william dean howells traveler from altruria,9
frank chin donald duk,9
joyce carol oates blonde,8
hisaye yamamoto seventeen syllables,8
helen hunt jackson century of dishonor,8
ishmael reed of louisiana red,8
ambrose bierce collected works,8
toni cade bambara the lesson,8
john steinbeck in dubious battle,8
john edgar wideman sent for you,8
raymond carver cathedral,8
frank o'connor guests of the,8
katherine anne porter leaning tower,8
william wells brown three years in,8
charlotte perkins gilman moving the mountain,8
jessica hagedorn dogeaters,7
john edgar wideman the cattle killing,7
bernard malamud pictures of fidelman,7
tim o'brien in the lake,7
bret harte tennessee's partner,7
pauline hopkins winona,7
harriet prescott spofford circumstance,7
