docid	author	title	inferreddate	latestcomp	firstpub	allcopiesofwork	copiesin25yrs	gender	nationality	earlyedition	lastname	imprint	norton	heath	nortonshort	mostdiscussed	preregistered	reviewed	contrast4reviewed	bestseller
mdp.39015063923869	Hough, Emerson,	54-40 or fight	1909	1909.0	1909.0	3.0	3.0			True	Hough	New York;McKinlay, Stone & Mackenzie;c1909	False	False	False	False	False	False	False	True
uc1.b3321331	Cooper, James Fenimore	The last of the Mohicans : a narrative of 1757	1856	1851.0		27.0	3.0			True	Cooper	New York;Stringer and Townsend;1856.	True	False	False	False	False	False	False	False
uc1.32106006691585	anonymous6	Cuchulain of Muirthemne	1902	1902.0	1902.0	1.0	1.0	f	ir	True	anonymous6	London;J. Murray;1902.	False	False	False	False	False	True	False	False
nyp.33433075743603	Scott, Walter,	Rob Roy	1824	1818.0	1818.0			m	uk		Scott	Philadelphia;J. Crissy;1824.	False	False	False	False	False	False	False	True
mdp.39015030719481	Williams, Ben Ames	Leave Her to Heaven	1944	1944.0	1944.0			m	us		Williams	Boston|Houghton Mifflin company|1944.	False	False	False	False	False	True	False	False
pst.000029700073	Wright, Richard	Uncle Tom's Children	1938	1938.0	1938.0	1.0	1.0	m	us	True	Wright	New York|New American Library|1949, c1938].	False	False	False	False	False	True	False	False
uc2.ark+=13960=t8bg2j878	Reid, Christian	A daughter of Bohemia;	1874	1874.0	1874.0			f	us		Reid	New York;D. Appleton and company;1874.	False	False	False	False	False	False	True	False
uc2.ark+=13960=t20c4ss2f	Harris, Joel Chandler	Free Joe	1887	1887.0		1.0	1.0			True	Harris	New York;Collier;1887.	False	True	False	False	False	False	False	False
uc1.32106018253754	Le Carré, John	A perfect spy	2003	1986.0		1.0	1.0			True	Le	New York, NY|Pocket Books|2003,c1986	False	False	False	False	False	False	False	True
uc1.b4097312	Fallada, Hans	Little man, what now?	1933	1933.0		5.0	4.0			True	Fallada	New York|Grosset & Dunlap|c1933.	False	False	False	False	False	False	False	True
uc2.ark+=13960=t3320543j	Black, William	Sabina Zembra	1887	1887.0	1887.0	4.0	4.0	m	uk	True	Black	London;and New York;Macmillan and Co.;1887.	False	False	False	False	False	True	False	False
pst.000006723453	Yonge, Charlotte M	Beechcroft at Rockstone	1889	1889.0	1889.0	1.0	1.0	f	uk	True	Yonge	London;Macmillan;1889.	False	False	False	False	False	False	True	False
umn.319510020706483	Eyton, John Seymour	Kullu and the elephant / | $c: with decorations by W.R. Lohse.	1929	1929.0	1929.0	1.0	1.0	m	uk	True	Eyton	Indianapolis|The Bobbs Merril company|c1929	False	False	False	False	False	False	True	False
uiuo.ark+=13960=t19k4x25q	Oliphant, Margaret	Merkland	1851	1851.0	1851.0	3.0	3.0	f	uk	True	Oliphant	London;H. Colburn;1851.	False	False	False	False	False	True	False	False
njp.32101068169513	Gerard, E	Beggar my neighbor	1882	1882.0	1882.0	3.0	3.0	f	uk	True	Gerard	Edinburgh;London;W. Blackwood and Sons;1882.	False	False	False	False	False	True	False	False
wu.89098003668	Powell, Ella M	Clio	1889	1889.0	1889.0	1.0	1.0	f	us	True	Powell	Atlanta;Harrison;1889.	False	False	False	False	False	False	True	False
njp.32101073395038	Kavanagh, Julia	Seven years, and other tales	1860	1860.0	1860.0			f	ir		Kavanagh	London;New York;G. Routledge;1857?	False	False	False	False	False	False	True	False
uiuo.ark+=13960=t4xh0999j	Eliot, George	Middlemarch: a study of provincial life	1871	1871.0	1871.0			f	uk		Eliot	Edinburgh;W. Blackwood;1871-72.	False	False	False	False	False	True	False	False
mdp.39015019181331	Davenport, Marcia	The valley of decision	1942	1942.0		3.0	2.0			True	Davenport	New York|C. Scribner's sons|1942.	False	False	False	False	False	False	False	True
uc2.ark+=13960=t15m6701g	Mathers, Helen	Comin' thro' the rye	1875	1875.0	1875.0			f	uk		Mathers	London;R. Bentley;1875.	False	False	False	False	False	False	True	False
uc1.b3327365	Merriman, Henry Seton	The isle of unrest	1899	1899.0	1899.0			m	uk		Merriman	New York;Dodd, Mead & Co.;1900, c1899.	False	False	False	False	False	True	False	False
njp.32101068971918	Kingsley, Henry	Ravenshoe	1864	1862.0	1862.0	13.0	1.0	m	uk	True	Kingsley	London;Macmillan and Co.;1864.	False	False	False	False	False	True	False	False
inu.39000003330789	Fothergill, Jessie	Probation	1879	1879.0	1879.0	6.0	6.0	f	uk	True	Fothergill	London;R. Bentley;1879.	False	False	False	False	False	True	False	False
njp.32101067707925	Benedict, Frank Lee	Miss Van Kortland	1874	1870.0	1870.0	1.0	1.0	m	us	True	Benedict	New York;Harper & Brothers;1874.	False	False	False	False	False	True	False	False
mdp.39015035798670	Williamson, C. N.	The princess passes	1905	1905.0	1905.0	2.0	2.0			True	Williamson	New York;H. Holt and company;1905.	False	False	False	False	False	False	False	True
mdp.39015066065254	Pynchon, Thomas	Gravity's rainbow	1973	1973.0	1973.0	3.0	2.0	m	us	True	Pynchon	New York|Viking Press|1973	False	False	False	True	True	False	False	False
njp.32101067643351	Estvan, Mathilde	Harry Delaware	1872	1872.0	1872.0			f	us		Estvan	New York;Putnam;1872.	False	False	False	False	False	False	True	False
mdp.39015069171505	Couperthwaite, S. L	Resolution, or, The depth of woman's love	1865	1865.0	1865.0	1.0	1.0	m	uk	True	Couperthwaite	London;Simpkin, Marshall, and Co.;Ipswich;Rees and Gripper;1865.	False	False	False	False	False	False	True	False
inu.30000026022446	Allen, Woody	Side effects	1981	1980.0		1.0	1.0			True	Allen	New York|Ballantine|1981, c1980.	False	False	False	False	False	False	False	True
inu.32000001277732	Du Maurier, Daphne	My cousin Rachel	1951	1951.0		3.0	2.0			True	Du	London|Gollancz|1951.	False	False	False	False	False	False	False	True
uc2.ark+=13960=t9m32tr6b	Sudermann, Hermann	Regina;	1907	1890.0	1890.0			m	german		Sudermann	London;J. Lane;New York;J. Lane company;1907.	False	False	False	False	False	False	True	False
mdp.39015059377617	Hichens, Robert,	In the wilderness;	1917	1917.0	1917.0						Hichens	New York;Frederick A. Stokes company;c1917	False	False	False	False	False	False	False	True
nyp.33433074841747	Daviess, Maria Thompson	The melting of Molly	1912	1912.0		2.0	2.0			True	Daviess	Indianapolis;Bobbs-Merrill;c1912	False	False	False	False	False	False	False	True
mdp.39015058785299	Hailey, Arthur	Airport	1968	1968.0		3.0	3.0			True	Hailey	Garden City, N.Y.|Doubleday|c1968.	False	False	False	False	False	False	False	True
mdp.39015012209816	Bristow, Gwen	Jubilee trail	1950	1950.0		2.0	2.0			True	Bristow	New York|Crowell|1950	False	False	False	False	False	False	False	True
miun.aat2524,0001,001	Larsen, Nella	Passing	1929	1929.0	1929.0			m	us		Larsen		False	False	False	False	False	True	False	False
uc2.ark+=13960=t5z60cq78	Malet, Lucas	The gateless barrier	1900	1900.0	1900.0	1.0	1.0	f	uk	True	Malet	N. Y.;Dodd, Mead;1900	False	False	False	False	False	True	False	False
mdp.39015063927910	Runkle, Bertha.	The helmet of Navarre;	1901	1901.0	1901.0	3.0	3.0			True	Runkle	New York;Grosset & Dunlap;c1901	False	False	False	False	False	False	False	True
uc2.ark+=13960=t3pv6nz42	Ward, Mary Augusta	Eleanor;	1900	1900.0	1900.0			f	uk		Ward	New York;London;Harper & brothers;1900.	False	False	False	False	False	True	False	False
mdp.39015031309209	Stern, G. B	Debonair	1928	1928.0	1928.0			f	uk		Stern	New York|A. A. Knopf|c1928.	False	False	False	False	False	True	False	False
dul1.ark+=13960=t3jw91q2r	Butler, Samuel	Erewhon, or, Over the range	1872	1872.0	1872.0	15.0	2.0	m	uk	False	Butler	London;Tr?_bner & Co. ...;1872.	False	False	False	False	False	True	False	False
uc1.b3325372	Davis, Richard Harding	Soldiers of fortune	1897	1897.0	1897.0			m	us		Davis	New York;C. Scribner's sons;1897.	False	False	False	False	False	True	False	False
uc2.ark+=13960=t1pg1nv9w	Broughton, Rhoda	Joan	1876	1876.0	1876.0	4.0	4.0	f	uk	True	Broughton	London;R. Bentley;1876.	False	False	False	False	False	True	False	False
uiuo.ark+=13960=t3126gn25	Lean, Florence	My sister the actress	1881	1881.0	1881.0	3.0	3.0	f	uk	True	Lean	London;F.V. White and Co.;1881.	False	False	False	False	False	False	True	False
mdp.39015030760691	McCutcheon, George Barr,	Graustark	1901	1901.0	1901.0	3.0	2.0			True	McCutcheon	New York;Grosset & Dunlap;c1901	False	False	False	False	False	False	False	True
mdp.39015000599186	Rawlings, Marjorie Kinnan	South Moon Under	1933	1933.0	1933.0			f	us		Rawlings	New York|Scribner|1933.	False	False	False	False	False	True	False	False
uiuo.ark+=13960=t6h13np7s	Smart, Hawley	Tie and trick	1885	1885.0	1885.0	3.0	3.0	m	uk	True	Smart	London;Chapman and Hall;1885.	False	False	False	False	False	False	True	False
mdp.39015040365788	Steel, Danielle	The long road home	1998	1998.0		1.0	1.0			True	Steel	New York, N.Y.|Delacorte Press|c1998.	False	False	False	False	False	False	False	True
mdp.39015063958998	Wiggin, Kate Douglas Smith,	Rose o' the river	1905	1905.0	1905.0	4.0	4.0			True	Wiggin	Boston;New York;Houghton Mifflin company;1905.	False	False	False	False	False	False	False	True
uc1.b3325539	Mallock, W. H	The heart of life	1895	1895.0	1895.0			m	uk		Mallock	London;Chapman & Hall;1895.	False	False	False	False	False	True	False	False
mdp.39015002749268	Rossner, Judith	Looking for Mr. Goodbar	1975	1975.0		1.0	1.0			True	Rossner	New York|Simon and Schuster|1975	False	False	False	False	False	False	False	True
mdp.39015001782393	Herbst, Josephine	The executioner waits, | $c: by Josephine Herbst.	1934	1934.0	1934.0	2.0	2.0	f	us	True	Herbst	New York|Harcourt, Brace and Company|c1934	False	False	False	False	False	False	True	False
pst.000002027432	Field, Rachel	And now tomorrow	1942	1942.0		3.0	3.0			True	Field	New York|Macmillan|1952 [c1942].	False	False	False	False	False	False	False	True
mdp.39015047521110	Le Carré, John	The honourable schoolboy	1977	1977.0		1.0	1.0			True	Le	New York|Knopf|1977.	False	False	False	False	False	False	False	True
mdp.39015025019079	Rinehart, Mary Roberts,	The man in lower ten	1909	1909.0	1909.0						Rinehart	New York;The Review of reviews co.;c1909	False	False	False	False	False	False	False	True
uc2.ark+=13960=t1cj8886t	James, Henry	Daisy Miller	1879	1879.0		5.0	2.0			True	James	London;Macmillan;1879.	True	True	False	False	False	False	False	False
mdp.39015004753730	Walker, Margaret	Jubilee	1966	1966.0		2.0	2.0			True	Walker	Boston|Houghton Mifflin|1966.	False	True	False	False	False	False	False	False
uc1.$b441039	Day, Clarence	Life with father	1935	1935.0		9.0	8.0			True	Day	New York|London,A.A. Knopf|1935.	False	False	False	False	False	False	False	True
uc2.ark+=13960=t7sn04s0c	Gibbs, Philip	Back to Life	1920	1920.0	1920.0	1.0	1.0	m	uk	True	Gibbs	London;W. Heinemann;1920.	False	False	False	False	False	True	False	False
mdp.39015014510963	Hoffman, William Dawson	The Saddle Wolf, | $c: by W. D. Hoffman.	1928	1928.0	1928.0	1.0	1.0	m	us	True	Hoffman	Chicago|A. C. McClurg & co.|1928.	False	False	False	False	False	False	True	False
uva.x004993551	Reid, Mayne	Andrew Deverel;	1863	1863.0	1863.0	1.0	1.0	m	us	True	Reid	Edinburgh;W.P. Nimmo;1870.	False	False	False	False	False	False	True	False
