docid	novelty_1.0_10	novelty_1.0_25	novelty_1.0_40	novelty_0.2_10	novelty_0.2_25	novelty_0.2_40	novelty_0.05_10	novelty_0.05_25	novelty_0.05_40	novelty_0.025_10	novelty_0.025_25	novelty_0.025_40	transience_1.0_10	transience_1.0_25	transience_1.0_40	transience_0.2_10	transience_0.2_25	transience_0.2_40	transience_0.05_10	transience_0.05_25	transience_0.05_40	transience_0.025_10	transience_0.025_25	transience_0.025_40	resonance_1.0_10	resonance_1.0_25	resonance_1.0_40	resonance_0.2_10	resonance_0.2_25	resonance_0.2_40	resonance_0.05_10	resonance_0.05_25	resonance_0.05_40	resonance_0.025_10	resonance_0.025_25	resonance_0.025_40
uc2.ark+=13960=t4dn42r7r	8.1896818835	8.38102492893	8.51262710385	4.13097637695	4.48007877646	4.78769951981	2.97080003578	3.22930321459	3.43862859696	2.63905115538	2.90534382407	3.06595877457	7.93136383715	8.09506938458	8.14800255354	3.96093770077	4.10725213094	4.16485073666	3.04091108556	3.09457261574	3.11913687684	2.73583490331	2.75168447814	2.77379118686	0.258318046353	0.285955544352	0.364624550305	0.170038676182	0.372826645523	0.622848783146	-0.0701110497803	0.134730598852	0.319491720118	-0.0967837479285	0.153659345936	0.292167587711
inu.39000001061378	11.3507252538	11.4469641201	11.5773875636	9.34735232847	9.5326541859	9.75657873015	6.77419477451	7.03471027493	7.39385912209	5.97001311586	6.15274342134	6.42746451005	11.3753517031	nan	nan	9.41558789544	nan	nan	6.67559067868	nan	nan	5.94120332315	nan	nan	-0.0246264492737	nan	nan	-0.0682355669741	nan	nan	0.0986040958261	nan	nan	0.0288097927138	nan	nan
mdp.39015082683973	4.75343418925	4.75287325944	4.80134442856	3.45724625622	3.45999674306	3.51212064026	2.88363998443	2.89995724147	2.96387121935	2.62168472231	2.66560843108	2.7342018164	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
mdp.39015003343533	7.17907923762	7.10512406006	7.02256785507	5.79070012924	5.64652374913	5.53471618707	4.6531551601	4.48286927686	4.37615647125	4.18459111032	4.0312907572	3.95167432195	7.25399841493	7.34806226766	nan	5.86016987626	6.00089368598	nan	4.75134265321	4.90393777693	nan	4.32790592078	4.44202429062	nan	-0.074919177315	-0.242938207599	nan	-0.0694697470155	-0.354369936854	nan	-0.0981874931089	-0.421068500072	nan	-0.143314810462	-0.410733533419	nan
loc.ark+=13960=t7kp8h10k	6.06102591838	6.07575668729	6.22567069671	4.52271801312	4.54999205474	4.67911550992	3.71970754783	3.75671052734	3.88200393865	3.38457420029	3.43172944114	3.56204362586	6.02941077753	6.06894888681	6.08170464378	4.4972832743	4.53700213745	4.53266157278	3.77398051289	3.77167282774	3.76436542232	3.51064503938	3.46150659593	3.46367966411	0.0316151408535	0.00680780047908	0.143966052934	0.0254347388126	0.0129899172901	0.146453937133	-0.0542729650511	-0.0149623004026	0.117638516328	-0.126070839091	-0.0297771547944	0.098363961748
mdp.39015043184392	5.75540584688	5.77518933562	5.87423101097	4.25598885058	4.38339391383	4.52762034434	3.37927808478	3.60401545202	3.80467707424	3.04647262428	3.28372493809	3.51234269334	5.77161059332	5.81645247298	5.86607725725	4.41219654187	4.50328579211	4.56321968603	3.64071531993	3.79909286104	3.86718033238	3.30776204638	3.48945339379	3.54775854624	-0.0162047464374	-0.0412631373615	0.00815375372146	-0.156207691289	-0.119891878283	-0.0355993416908	-0.261437235151	-0.195077409027	-0.0625032581437	-0.261289422095	-0.205728455697	-0.0354158528965
uiuo.ark+=13960=t7rn3pf5r	5.44557667609	5.65852056301	5.8486040339	4.19309444999	4.41488902373	4.65954564695	3.69607565717	3.888960242	4.14638376119	3.4734188625	3.66302659318	3.9419607588	5.45811197505	5.51918175304	5.5980459057	4.24713378016	4.30706506348	4.38269243601	3.73330055306	3.77306365853	3.84207695981	3.5146622169	3.55139460982	3.61857431256	-0.0125352989547	0.139338809973	0.250558128198	-0.0540393301745	0.107823960246	0.276853210932	-0.0372248958908	0.115896583466	0.304306801382	-0.0412433543992	0.111631983361	0.323386446243
uc1.b3122298	5.41232029544	5.49378652576	5.56521964038	3.99785823354	4.10193175412	4.21101613877	3.30517283736	3.45565791313	3.61084337692	3.05621476898	3.2072184529	3.38374738467	5.45040652571	5.47039881277	5.47001239504	4.01296907059	4.06320974926	4.08750395325	3.34819396559	3.40345234906	3.43917935512	3.11318626478	3.14042497224	3.17057593134	-0.038086230266	0.023387712998	0.0952072453436	-0.0151108370484	0.0387220048565	0.123512185513	-0.0430211282293	0.0522055640655	0.171664021809	-0.0569714958036	0.0667934806683	0.213171453327
uc1.b4949007	5.89310386494	5.81749387262	5.87662714596	4.48905149223	4.42627633699	4.48227345516	3.89546578866	3.8780151247	3.91384713808	3.67345190842	3.66887304963	3.69581696602	5.96370515273	6.07118669429	nan	4.52059408822	4.69381468147	nan	3.89765423973	4.05135080428	nan	3.64841508372	3.79849871139	nan	-0.0706012877941	-0.253692821662	nan	-0.0315425959998	-0.267538344475	nan	-0.00218845106832	-0.173335679581	nan	0.0250368246939	-0.129625661762	nan
inu.30000110556754	4.75329888146	4.78276892716	4.84890216144	3.24718897896	3.2844375738	3.34599892484	2.56852136487	2.62395196094	2.68173497453	2.25715787688	2.3500144336	2.41812266091	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
