docid	novelty_1.0_10	novelty_1.0_25	novelty_1.0_40	novelty_0.9_10	novelty_0.9_25	novelty_0.9_40	novelty_0.05_10	novelty_0.05_25	novelty_0.05_40	transience_1.0_10	transience_1.0_25	transience_1.0_40	transience_0.9_10	transience_0.9_25	transience_0.9_40	transience_0.05_10	transience_0.05_25	transience_0.05_40	resonance_1.0_10	resonance_1.0_25	resonance_1.0_40	resonance_0.9_10	resonance_0.9_25	resonance_0.9_40	resonance_0.05_10	resonance_0.05_25	resonance_0.05_40
uc1.b3123868	5.07560955722	4.99325745107	nan	4.87176822147	4.78009604087	nan	3.25354907679	3.1702812767	nan	5.20900566327	5.37845003126	5.46497083276	5.00370941101	5.18351379496	5.27454857726	3.27882868245	3.46322375064	3.5784316208	-0.133396106055	-0.385192580195	nan	-0.131941189539	-0.403417754088	nan	-0.0252796056577	-0.292942473943	nan
mdp.39015050559379	4.59851231552	4.59615871375	4.65296041348	4.42989381575	4.42689651893	4.48557289003	2.81882615344	2.89872715435	2.96189382201	4.65338918836	4.6392847737	4.68649179819	4.49243898674	4.47608962845	4.52719722985	2.92181037389	2.92785365208	3.00386402336	-0.0548768728418	-0.0431260599439	-0.033531384711	-0.0625451709995	-0.0491931095289	-0.0416243398183	-0.102984220446	-0.0291264977284	-0.0419702013469
uc1.31822035053495	5.79175568313	5.89922032083	5.94019658695	5.63829143401	5.74769560268	5.79279957858	3.72974724683	3.93229125636	4.06183755734	5.67411414368	5.71831002584	5.71891045408	5.51242086454	5.55771356703	5.5590071295	3.46234820101	3.58235524386	3.54161551859	0.11764153945	0.180910294984	0.221286132872	0.12587056947	0.189982035655	0.233792449074	0.267399045815	0.349936012499	0.520222038753
mdp.39015059970650	4.40547072126	4.60715807218	4.86308382193	4.05851479113	4.26939909202	4.53956845154	1.60371527152	1.72630742208	1.87202511993	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
nyp.33433074931183	5.23958522392	nan	nan	5.00378668888	nan	nan	3.48833946421	nan	nan	5.35838442661	5.49174162984	5.65206949184	5.09880014481	5.24717530524	5.41936774777	3.43967393622	3.48660985622	3.60099979369	-0.118799202685	nan	nan	-0.0950134559268	nan	nan	0.0486655279895	nan	nan
mdp.49015002240241	4.94347677674	5.01280632393	5.07563991284	4.74442382729	4.81958131601	4.88751960535	3.04733820381	3.17345924281	3.27275607631	5.0211621213	4.93863621135	4.97209689556	4.80804405676	4.72784208269	4.76660894972	3.06935055958	3.03024060085	3.0720082187	-0.0776853445608	0.0741701125777	0.103543017279	-0.0636202294725	0.0917392333268	0.120910655625	-0.022012355773	0.143218641958	0.200747857613
uc1.$b300182	5.08438980429	5.21849160175	5.34298071958	4.8963704392	5.03051361156	5.16059717186	3.38852029221	3.52439461787	3.6990437363	5.17011358483	5.22280886885	5.28293591703	4.98765529223	5.04900380316	5.11359900973	3.3941734846	3.43013215637	3.53722625257	-0.0857237805391	-0.00431726709859	0.0600448025437	-0.0912848530311	-0.0184901915999	0.0469981621308	-0.00565319238899	0.0942624615002	0.161817483728
uiuo.ark+=13960=t85h8313w	4.85653577701	nan	nan	4.61840392376	nan	nan	2.49445040716	nan	nan	4.93674489353	4.97918031951	5.12313905248	4.68261615933	4.72830646183	4.88431960984	2.49268180196	2.63009948252	2.80058838274	-0.0802091165207	nan	nan	-0.0642122355758	nan	nan	0.00176860520147	nan	nan
mdp.39015012358662	5.91666078359	5.93181520005	6.03554615129	5.7328711107	5.745128141	5.84513389853	3.4607005897	3.5668957693	3.73055594722	6.09870410301	6.28863315836	6.40725464437	5.91199495981	6.11322933969	6.23560237448	3.67554572994	4.02470614763	4.17592201139	-0.182043319419	-0.356817958313	-0.371708493083	-0.179123849103	-0.368101198694	-0.390468475953	-0.214845140244	-0.457810378335	-0.445366064173
uc1.$b555827	6.00502760231	6.09634604941	6.15376791833	5.82782234844	5.9232490097	5.98256751048	3.87329145038	4.11740788566	4.18985332093	5.92168061445	5.95035587194	5.95798371244	5.74156392876	5.76825276277	5.77741475358	3.61241588228	3.70048620674	3.78591726283	0.0833469878566	0.145990177474	0.195784205897	0.08625841968	0.154996246928	0.205152756891	0.260875568099	0.416921678918	0.403936058102
