"docid"	"earliestdate"	"actualdate"	"tags"	"author"	"title"	"gender"	"nationality"	"authsvols"	"lastname"
"uc2.ark+=13960=t55d8p14j"	1843	1854	"vulgar"	"Stephens, Ann S"	"High life in New York"	"f"	"us"	47	"Stephens"
"nyp.33433075741789"	1845	1852	"vulgar"	"Reynolds, George W. M"	"The mysteries of the court of London"	"m"	"uk"	61	"Reynolds"
"uc1.b249620"	1848	1853	"vulgar"	"Peppergrass, Paul"	"Shandy M'Guire, or, Tricks upon travellers : being a story of the north of Ireland"	"m"	"ir"	4	"Peppergrass"
"njp.32101073308494"	1849	1852	"vulgar"	"Manning, Anne"	"The maiden & married life of Mary Powell, afterwards Mistress Milton"	"f"	"uk"	66	"Manning"
"uc2.ark+=13960=t4wh2fh9b"	1850	1850	"vulgar"	"Leighton, John"	"Christmas comes but once a year"	"m"	"uk"	2	"Leighton"
"uc2.ark+=13960=t10p0ww49"	1850	1866	"elite"	"Hawthorne, Nathaniel"	"The scarlet letter"	"m"	"us"	437	"Hawthorne"
"mdp.39015031908893"	1850	1850	"elite"	"Collins, Wilkie"	"Antonina;"	"m"	"uk"	231	"Collins"
"uc1.b3579114"	1850	1850	"vulgar"	"Kimball, Richard B"	"Saint Leger, or, The threads of life"	"m"	"us"	18	"Kimball"
"uc2.ark+=13960=t6m043s5h"	1850	1860	"vulgar"	"Hall, S. C"	"Stories of the Irish peasantry"	"f"	"uk"	60	"Hall"
"mdp.39015031909669"	1850	1850	"elite"	"Collins, Wilkie"	"Antonina;"	"m"	"uk"	231	"Collins"
"mdp.39015031908901"	1850	1850	"elite"	"Collins, Wilkie"	"Antonina;"	"m"	"uk"	231	"Collins"
"uiuo.ark+=13960=t2697np18"	1850	1851	"vulgar"	"Lytton, Rosina Bulwer Lytton"	"Miriam Sedley; or, The tares and the wheat"	"f"	"uk"	35	"Lytton"
"uc1.b3548184"	1850	1850	"vulgar"	"Warburton, Eliot"	"Reginald Hastings"	"m"	"ir"	4	"Warburton"
"uiuo.ark+=13960=t5fb5p49z"	1851	1851	"elite"	"Ponsonby, Emily"	"Clare Abbey, or, The trials of youth"	"f"	"uk"	33	"Ponsonby"
"uiuo.ark+=13960=t9086r70j"	1851	1851	"vulgar"	"Daniel, Mackenzie"	"Fernley Manor"	"f"	"uk"	12	"Daniel"
"uc2.ark+=13960=t2h708h89"	1851	1851	"vulgar"	"Pearson, Emily C"	"Jamie Parker, the fugitive"	"f"	"us"	2	"Pearson"
"nyp.33433074872015"	1851	1851	"vulgar"	"Howitt, Mary Botham"	"The heir of Wast-Wayland"	"f"	"uk"	61	"Howitt"
"uiuo.ark+=13960=t0tq6857p"	1851	1851	"elite"	"Dalrymple, J. Elphinstone"	"The Livingstones"	"f"	"uk"	3	"Dalrymple"
"uc2.ark+=13960=t4rj4df5z"	1851	1869	"vulgar"	"Mitchell, Donald Grant"	"Dream life"	"m"	"us"	60	"Mitchell"
"uc1.b4145140"	1851	1852	"elite"	"Stowe, Harriet Beecher"	"Uncle Tom's cabin"	"f"	"us"	108	"Stowe"
"uc1.b4717980"	1851	1860	"vulgar"	"Reid, Mayne"	"The war trail, or, The hunt of the wild horse"	"m"	"us"	177	"Reid"
"uc2.ark+=13960=t5h98zv6n"	1851	1860	"vulgar"	"Luke, Jemima Thompson"	"The female Jesuit;"	"f"	"uk"	3	"Luke"
"uiuo.ark+=13960=t6834cj82"	1851	1851	"elite"	"Oliphant, Margaret"	"Merkland"	"f"	"uk"	305	"Oliphant"
"uiuo.ark+=13960=t0tq6hk31"	1851	1851	"elite"	"Ponsonby, Emily"	"Clare Abbey, or, The trials of youth"	"f"	"uk"	33	"Ponsonby"
"uiuo.ark+=13960=t81k02901"	1851	1851	"vulgar"	"Pinkney, Jane Vaughan"	"The young doctor"	"f"	"uk"	6	"Pinkney"
"uc1.b3327058"	1851	1851	"vulgar"	"Murray, Hamilton"	"Falkenburg"	"f"	"uk"	10	"Murray"
"dul1.ark+=13960=t2f77261f"	1851	1852	"vulgar"	"Perce, Elbert"	"Gulliver Joi, his three voyages"	"m"	"us"	2	"Perce"
"uiuo.ark+=13960=t8w95tp2x"	1851	1851	"vulgar"	"Reid, Mayne"	"The scalp hunters"	"m"	"us"	177	"Reid"
"uiuo.ark+=13960=t5j96qq51"	1851	1851	"elite"	"Oliphant, Margaret"	"Merkland"	"f"	"uk"	305	"Oliphant"
"uiuo.ark+=13960=t19k4x25q"	1851	1851	"elite"	"Oliphant, Margaret"	"Merkland"	"f"	"uk"	305	"Oliphant"
"uc2.ark+=13960=t8tb0zk22"	1851	1851	"elite"	"Roe, A. S"	"To love and to be loved"		"us"	12	"Roe"
"uva.x030802597"	1851	1851	"vulgar"	"Knight, Helen C"	"chi.35738102"	"f"	"us"	8	"Knight"
"njp.32101064715665"	1851	1851	"vulgar"	"Southworth, Emma Dorothy Eliza Nevitte"	"Shannodale"	"f"	"us"	82	"Southworth"
"mdp.39015063516614"	1851	1851	"elite"	"Borrow, George Henry"	"Lavengro;"	"m"	"uk"	23	"Borrow"
"mdp.39015064466116"	1851	1851	"elite"	"Borrow, George Henry"	"Lavengro;"	"m"	"uk"	23	"Borrow"
"mdp.39015064466108"	1851	1851	"elite"	"Borrow, George Henry"	"Lavengro;"	"m"	"uk"	23	"Borrow"
"uc2.ark+=13960=t81j9d133"	1851	1851	"vulgar"	"Watson, William Davy"	"Trevethlan"	"m"	"uk"	8	"Watson"
"nyp.33433076049380"	1852	1852	"vulgar"	"Peterson, Charles J"	"The cabin and parlor; or, Slaves and masters"	"m"	"us"	4	"Peterson"
"uiuo.ark+=13960=t3708cf7k"	1852	1852	"vulgar"	"Belfast, Frederick Richard Chichester"	"The farce of life"	"m"	"uk"	9	"Belfast"
"uc2.ark+=13960=t7dr2xx5g"	1852	1852	"vulgar"	"Lowndes, Hannah Maria Jones"	"Katharine Bereford; or, The shade and sunshine of woman's life"	"f"	"uk"	2	"Lowndes"
"uc2.ark+=13960=t1xd10385"	1852	1852	"vulgar"	"Bennett, Emerson"	"Viola; or, Adventures in the far South-west"	"m"	"us"	38	"Bennett"
"uc1.b250587"	1852	1852	"elite"	"Sinclair, Catherine"	"Beatrice, or, The unknown relatives"	"f"	"uk"	40	"Sinclair"
"uc1.b3325180"	1852	1852	"vulgar"	"Thompson, Daniel P"	"May Martin, and other tales of the Green Mountains"	"m"	"us"	15	"Thompson"
"nyp.33433074862560"	1852	1852	"vulgar"	"Gwynne, Talbot"	"The school for fathers"	"f"	"uk"	3	"Gwynne"
"nyp.33433074895990"	1852	1852	"vulgar"	"McKinnon, William Charles"	"St. George; or, The Canadian league"	"m"	"ca"	2	"McKinnon"
"uiuo.ark+=13960=t6xw4qm1j"	1852	1853	"vulgar"	"Cole, Alfred Whaley"	"Hope"	"m"	"uk"	2	"Cole"
"uc2.ark+=13960=t1xd0w07q"	1852	1852	"elite"	"Craik, Dinah Maria Mulock"	"The head of the family"	"f"	"uk"	168	"Craik"
"uc1.b3325618"	1852	1852	"elite"	"Marsh-Caldwell, Anne"	"Castle Avon"	"f"	"uk"	97	"Marsh-Caldwell"
"uc1.b3325617"	1852	1852	"elite"	"Marsh-Caldwell, Anne"	"Castle Avon"	"f"	"uk"	97	"Marsh-Caldwell"
"uc1.b250586"	1852	1852	"elite"	"Sinclair, Catherine"	"Beatrice, or, The unknown relatives"	"f"	"uk"	40	"Sinclair"
"uc1.b250585"	1852	1852	"elite"	"Sinclair, Catherine"	"Beatrice, or, The unknown relatives"	"f"	"uk"	40	"Sinclair"
"uc1.b3325619"	1852	1852	"elite"	"Marsh-Caldwell, Anne"	"Castle Avon"	"f"	"uk"	97	"Marsh-Caldwell"
"uc2.ark+=13960=t53f4r152"	1852	1852	"elite"	"Craik, Dinah Maria Mulock"	"The head of the family"	"f"	"uk"	168	"Craik"
"uc2.ark+=13960=t7jq0zc1x"	1852	1852	"elite"	"Craik, Dinah Maria Mulock"	"The head of the family"	"f"	"uk"	168	"Craik"
"nyp.33433074947171"	1853	1860	"elite"	"Cockton, Henry"	"Percy Effingham"	"m"	"uk"	27	"Cockton"
"nyp.33433076053416"	1853	1853	"vulgar"	"Prime, William Cowper"	"The old house by the river"	"m"	"us"	12	"Prime"
"nyp.33433084128655"	1853	1855	"vulgar"	"Yonge, Charlotte M"	"The heir of Redclyffe"	"f"	"uk"	218	"Yonge"
"njp.32101068168424"	1853	1853	"elite"	"Crosland, Newton"	"Stray leaves from shady places"	"f"	"uk"	12	"Crosland"
