docid	allcopiesofwork	author	bestseller	contrast4reviewed	copiesin25yrs	earlyedition	firstpub	gender	heath	imprint	inferreddate	lastname	latestcomp	mostdiscussed	nationality	norton	nortonshort	preregistered	recordid	reviewed	title	inferrednation
uc1.32106010927223	2.0	Tan, Amy	False	False	2.0	True			False	New York|Putnam|c1989.	1989	Tan	1989	False		True	False	False	1541408.0	False	The Joy Luck Club	us
uc2.ark+=13960=t9m32tr6b		Sudermann, Hermann	False	True			1890.0	m	False	London;J. Lane;New York;J. Lane company;1907.	1907	Sudermann	1890	False	german	False	False	False	6095822.0	False	Regina;	german
mdp.39015046353481	2.0	Tan, Amy	True	False	2.0	True			False	New York|Putnam|c1991.	1991	Tan	1991	False		False	False	False	2466651.0	False	The kitchen god's wife	us
mdp.39015063550324	4.0	Harrison, Henry Sydnor,	True	False	4.0	True	1913.0		False	Boston;New York;Houghton Mifflin company;1913.	1913	Harrison	1913	False		False	False	False	449486.0	False	V. V.'s eyes	us
mdp.39015046349141	1.0	Faulkner, William	False	False	1.0	True			False	London|Chatto and Windus|1931.	1931	Faulkner	1931	True		False	False	False	388888.0	False	The sound and the fury	us
uiug.30112042024395	3.0	Dell, Ethel M.	True	False	3.0	True	1916.0		False	New York;A. L. Burt company;c1916	1916	Dell	1916	False		False	False	False	285087.0	False	The bars of iron	guess: non-us
uc1.$b312400	1.0	Ritchie, Alice	False	False	1.0	True	1930.0	f	False	London|L. and Virginia Woolf at the Hogarth Press|1930.	1930	Ritchie	1930	False	uk	False	False	False	6541400.0	True	Occupied Territory	uk
mdp.39015038582691	1.0	Cornwell, Patricia Daniels	True	False	1.0	True			False	New York|G.P. Putnam's Sons|c1996.	1996	Cornwell	1996	False		False	False	False	3137781.0	False	Hornet's nest	us
njp.32101068971058		Kavanagh, Julia	False	True			1860.0	f	False	London;New York;G. Routledge;1857?	1860	Kavanagh	1860	False	ir	False	False	False	9014927.0	False	Seven years, and other tales	ir
uc1.32106006283888	2.0	Susann, Jacqueline	True	False	2.0	True			False	New York|B. Geis Associates|1966	1966	Susann	1966	False		False	False	False	7120648.0	False	Valley of the dolls, a novel	guess: us
mdp.39015059959802	1.0	Morrison, Toni	False	False	1.0	True			False	New York|Knopf|Distributed by Random House|c2003.	2003	Morrison	2003	True		False	False	False	4344849.0	False	Love	us
umn.31951002457287u	5.0	Harte, Bret	False	False	3.0	True	1883.0	m	False	London;Longmans, Green, and Co.;1883.	1883	Harte	1883	False	us	False	False	False	6502891.0	True	In the Carquinez woods	us
mdp.39015028550013	1.0	 Wodehouse, P. G	False	True	1.0	True	1926.0	m	False	Leipzig|B. Tauchnitz|1926.	1926	Wodehouse	1926	False	uk	False	False	False	1776191.0	False	Sam the sudden, | $c: by P.G. Wodehouse ...	uk
uc1.b249560	4.0	Broughton, Rhoda	False	False	4.0	True	1880.0	f	False	London;R. Bentley;1880.	1880	Broughton	1880	False	uk	False	False	False	6502100.0	True	Second thoughts	uk
mdp.39015024079090	1.0	MacInnes, Helen	True	False	1.0	True			False	New York|Harcourt, Brace & World|1966	1966	MacInnes	1966	False		False	False	False	1113179.0	False	The double image	uk
uc2.ark+=13960=t7cr5nx6g	1.0	Smith, Arthur Cosslett	False	True	1.0	True	1903.0	m	False	New York;Scribner;1903.	1903	Smith	1903	False	us	False	False	False	7649575.0	False	The turquoise cup	us
mdp.49015000988411	1.0	Howard, Robert E	False	True	1.0	False	1935.0	m	False	New York?|Prestige Books : distributed by Ace Books|c1967.	1935	Howard	1935	False	us	False	False	False	4481540.0	False	Conan the conqueror	us
uc2.ark+=13960=t8rb6wq8k	3.0	Chambers, Robert W	False	False	3.0	True	1905.0	m	False	New York;Grosset & Dunlap;c1905	1905	Chambers	1905	False	us	False	False	False	7655624.0	True	The reckoning	us
uiuo.ark+=13960=t3jw8nr85		Allen, Grant	False	False			1893.0	m	False	London;Chatto & Windus, Piccadilly;1893;(Guildford;Billing and Sons, printers)	1893	Allen	1893	False	ca	False	False	False	8723056.0	True	The scallywag	ca
mdp.39015053232107	1.0	West, Morris L	True	False	1.0	True			False	New York|Morrow|1961.	1961	West	1961	False		False	False	False	1188176.0	False	Daughter of silence	Australian
nnc1.cu53417658	1.0	Erckmann, Emile	False	True	1.0	True	1863.0	m	False	New York;A.L. Burt;1903	1903	Erckmann	1863	False	french	False	False	False	8427458.0	False	Madame Thérèse	french
nyp.33433074943634	36.0	Austen, Jane	False	False	1.0	False	1813.0	f	False	London;R. Bentley;1853.	1853	Austen	1813	False	uk	False	False	True	8663885.0	False	Pride and Prejudice	uk
mdp.39015062324325	1.0	Doyle, Arthur Conan,	True	False	1.0	True	1902.0	m	False	New York;Grosset & Dunlap;1921?	1921	Doyle	1902	False	uk	False	False	False	208078.0	False	The hound of the Baskervilles	uk
uc2.ark+=13960=t39z9256f	1.0	Travers, John	False	True	1.0	True	1922.0	m	False	London;Hodder and Stoughton;1922?	1922	Travers	1922	False		False	False	False	7675034.0	False	The Mortimers	guess: non-us
mdp.39015003840595		Costain, Thomas B. (Thomas Bertram)	False	True			1946.0	m	False	Garden City, N.Y.|Doubleday, Doran & co., inc.|1946.	1946	Costain	1946	False	ca	False	False	False	669176.0	False	The black rose.	ca
uva.x000319019	18.0	James, Henry	False	False	9.0	True			False	New York;C. Scribner's sons;1904.	1904	James	1904	True		False	False	False	7663220.0	False	The golden bowl	us
